Image_name,Processed_Text,True_Label,political_specific_count,political_specific_ratio,LR_Prediction,LR_Correct,NN_Prediction,NN_Correct,All_Models_Agree,Majority_Vote
train2506.jpg,রমজীন মামেও যখন আপনি আপনার বফ গফ এর মাথে ইনবকসে চ্যাটিং করতে থাকেন জেলেবন্দী থকী ইবলিশ সুমন আহন্মেদ,NonPolitical,0,0.0,NonPolitical,True,NonPolitical,True,True,NonPolitical
train2024.jpg,wilbert মানুষের পোলাপান বাইবে ক্তআকাম করে আরআমি বাসায় বইয়া সারাদিন মোরাইল টিপি আরীকপিপিউটার গুতাই তার পরেও আম্মু সারাদিন চিলায় আমার আম্মুর উচিত আমারে লইয়া গর্ব করা,NonPolitical,0,0.0,NonPolitical,True,NonPolitical,True,True,NonPolitical
train1528.jpg,অনুপয রায় এই স্টেশনের চত্বরে হারিয়ে গেছি শেষ ট্রেনে ঘরে ফিরবো না না না শেষ ট্রেন এর চালক meme বাংলা চুদে চাটনি বেকার খটনি,NonPolitical,0,0.0,NonPolitical,True,NonPolitical,True,True,NonPolitical
train2871.jpg,tank ball tank tank ball enki bajjtannkki bejlianikl bell tank beni এসব দেখি কানার হাট বাজার! oil tank haji tank ball tennis haji tank bejitanki haji tea,NonPolitical,0,0.0,NonPolitical,True,NonPolitical,True,True,NonPolitical
train2573.jpg,ক্লাসে বারবার পাদার জন্য প্যান্টের চিংকার করা মধ্যে হেগে রসে আমার টিচার থাকা আমি,NonPolitical,0,0.0,NonPolitical,True,NonPolitical,True,True,NonPolitical
train2170.jpg,চোস চোষা চোষ চষ মাচো তুমি এখানে ইন্টারভিউ দিতে এসেছো নার্ভাস হবার নেই রিলেকসকৈরো চৌষী মচগষা চোষো চোষাচোষা চোষা চোষাচোসচোষচো স্যার একটা বিডিতেবোনোকি? কিছু,NonPolitical,0,0.0,NonPolitical,True,NonPolitical,True,True,NonPolitical
train0478.jpg,লি বেড়াল আঁতেল ডান বাম উভয়ই খারাপ আমরা ডানও না বামও না তাই আমরা ভালো বাংলা প্রবাদ tough prom don thinks,Political,1,0.047619047619047616,Political,True,Political,True,True,Political
train1840.jpg,জুম্মাহ মোবারক স্টেটাস দেই নাই তার মানে এই না দিহান যে আমি জুম্মা পরি নাই,NonPolitical,0,0.0,NonPolitical,True,NonPolitical,True,True,NonPolitical
train0374.jpg,সন্ধ্যায় পড়ার জন্য উত্তম মধ্যম দেওয়ার পর যখন আম্মু রাতে খাওয়ায় দেওয়ার জন্য ডাকে আম রজোর দরদ দেশতে হবে পাগ এর বেইমাদ,NonPolitical,0,0.0,NonPolitical,True,NonPolitical,True,True,NonPolitical
train0424.jpg,ইফতারের সময় বন্ধু যখন তাড়াহুড়ো করে খেজুর গালে দেয় এবং একটু পর সেটা মুখের মধ্যে উড়তে শুরু করে তমন না আসলে স্বাদটা একটু বোঝার চেষ্টা করছি মা ওরিও বয় কি বে কি হলো ওরিও বয় কিছু নাই,NonPolitical,0,0.0,NonPolitical,True,NonPolitical,True,True,NonPolitical
